,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
Q8NAP3,Gene Ontology,ZBT38_HUMAN,Zinc finger and BTB domain-containing protein 38,1195,3D-structure; Activator; Chromosome; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,Methylated DNA binding;DNA-binding transcription factors
O95613,BioGRID,PCNT_HUMAN,Pericentrin,3336,Alternative splicing; Calmodulin-binding; Coiled coil; Cytoplasm;Cytoskeleton; Dwarfism; Microtubule; Phosphoprotein; Reference proteome;Ubl conjugation.,
O43929,Gene Ontology,ORC4_HUMAN,Origin recognition complex subunit 4,436,3D-structure; Alternative splicing; ATP-binding; Disease variant;DNA replication; DNA-binding; Dwarfism; Methylation; Nucleotide-binding;Nucleus; Reference proteome.,DNA replication;Telomere-associated
Q4VC44,Gene Ontology,FWCH1_HUMAN,FLYWCH-type zinc finger-containing protein 1,716,3D-structure; Alternative splicing; Centromere; Chromosome; DNA damage;DNA-binding; Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Centromere-associated;Heterochromatin-associated
Q5U5Q3,BioGRID,MEX3C_HUMAN,RNA-binding E3 ubiquitin-protein ligase MEX3C,659,3D-structure; Cytoplasm; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; Transferase;Ubl conjugation pathway; Zinc; Zinc-finger.,
Q71UI9,Gene Ontology,H2AV_HUMAN,Histone H2A.V,128,3D-structure; Acetylation; Alternative splicing; Chromosome; DNA-binding;Nucleosome core; Nucleus; Reference proteome; Ubl conjugation.,Histones
Q03164,Gene Ontology,KMT2A_HUMAN,MLL cleavage product C180,3969,3D-structure; Acetylation; Alternative splicing; Apoptosis;Biological rhythms; Bromodomain; Chromatin regulator;Chromosomal rearrangement; Direct protein sequencing; DNA-binding;Host-virus interaction; Isopeptide bond; Metal-binding; Methylation;Methyltransferase; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Repeat; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;Histone modification;Histone PTM writers;DNA-templated transcription
O60479,Gene Ontology,DLX3_HUMAN,Homeobox protein DLX-3,287,3D-structure; Activator; Amelogenesis imperfecta; Cytoplasm;Developmental protein; DNA-binding; Homeobox; Nucleus; Reference proteome;Transcription; Transcription regulation.,DNA-binding transcription factors
Q9BV19,BioGRID,CA050_HUMAN,Uncharacterized protein C1orf50,199,Coiled coil; Reference proteome.,
Q9UNF1,BioGRID,MAGD2_HUMAN,Melanoma-associated antigen D2,606,Acetylation; Alternative splicing; Bartter syndrome;Direct protein sequencing; Disease variant; Phosphoprotein;Reference proteome; Tumor antigen.,
Q13362,BioGRID,2A5G_HUMAN,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,524,3D-structure; Acetylation; Alternative splicing; Centromere; Chromosome;Nucleus; Phosphoprotein; Reference proteome.,Centromere-associated
P17096,Gene Ontology,HMGA1_HUMAN,High mobility group protein HMG-I/HMG-Y,107,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Chromosomal rearrangement; Chromosome; Direct protein sequencing;DNA-binding; Isopeptide bond; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation.,DNA replication;Heterochromatin-associated;Regulation of transcription;HMG_A/B/N
P07355,BioGRID,ANXA2_HUMAN,Annexin A2,339,3D-structure; Acetylation; Alternative splicing; Annexin;Basement membrane; Calcium; Calcium/phospholipid-binding;Direct protein sequencing; Extracellular matrix; Host-virus interaction;Isopeptide bond; Phosphoprotein; Reference proteome; Repeat; RNA-binding;Secreted; Ubl conjugation.,Regulation of transcription;DNA-templated transcription
Q04446,BioGRID,GLGB_HUMAN,"1,4-alpha-glucan-branching enzyme",702,3D-structure; Acetylation; Disease variant; Glycogen biosynthesis;Glycogen storage disease; Glycosyltransferase; Neuropathy; Phosphoprotein;Reference proteome; Transferase.,
Q8N3C0,BioGRID,ASCC3_HUMAN,Activating signal cointegrator 1 complex subunit 3,2202,3D-structure; Acetylation; Alternative splicing; ATP-binding; Coiled coil;Cytoplasm; Direct protein sequencing; DNA damage; DNA repair; Helicase;Hydrolase; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation.,DNA repair;DNA-modifying enzymes;Regulation of transcription
P62877,BioGRID,RBX1_HUMAN,"E3 ubiquitin-protein ligase RBX1, N-terminally processed",108,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;DNA damage; DNA repair; Host-virus interaction; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Transferase; Ubl conjugation pathway;Zinc; Zinc-finger.,Histone PTM writers
O15347,Gene Ontology,HMGB3_HUMAN,High mobility group protein B3,200,3D-structure; Acetylation; Chromosome; Cytoplasm; Disulfide bond;DNA-binding; Immunity; Innate immunity; Microphthalmia; Nucleus; Oxidation;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation.,HMG_A/B/N
Q9UKD2,BioGRID,MRT4_HUMAN,mRNA turnover protein 4 homolog {ECO:0000250|UniProtKB:P33201},239,3D-structure; Cytoplasm; Nucleus; Phosphoprotein; Reference proteome;Ribosome biogenesis.,Preribosome-associated
Q9UNX4,BioGRID,WDR3_HUMAN,WD repeat-containing protein 3,943,3D-structure; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Repeat; Ubl conjugation; WD repeat.,Preribosome-associated
P23771,Gene Ontology,GATA3_HUMAN,Trans-acting T-cell-specific transcription factor GATA-3,443,3D-structure; Activator; Alternative splicing; Deafness; Disease variant;DNA-binding; Immunity; Innate immunity; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors;DNA-templated transcription;Pioneer TFs
Q13315,Gene Ontology,ATM_HUMAN,Serine-protein kinase ATM,3056,3D-structure; Acetylation; ATP-binding; Cell cycle; Cytoplasm;Cytoplasmic vesicle; Cytoskeleton; Disease variant; DNA damage;DNA-binding; Kinase; Neurodegeneration; Nucleotide-binding; Nucleus;Peroxisome; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase; Tumor suppressor.,Histone modification;Histone PTM writers;DNA repair;Telomere-associated;DNA recombination
Q9UIF9,Gene Ontology,BAZ2A_HUMAN,Bromodomain adjacent to zinc finger domain protein 2A,1905,3D-structure; Acetylation; Alternative splicing; Bromodomain;Chromatin regulator; Coiled coil; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; RNA-binding; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;Chromatin remodelers;Heterochromatin-associated;DNA-templated transcription
Q9NWB1,BioGRID,RFOX1_HUMAN,RNA binding protein fox-1 homolog 1,397,3D-structure; Alternative splicing; Cytoplasm; Methylation;mRNA processing; mRNA splicing; Nucleus; Reference proteome; RNA-binding.,
Q8IZH2,BioGRID,XRN1_HUMAN,5'-3' exoribonuclease 1,1706,Alternative splicing; Cytoplasm; DNA-binding; Exonuclease; Hydrolase;Nuclease; Phosphoprotein; Reference proteome; RNA-binding;Tumor suppressor.,
Q08AF3,BioGRID,SLFN5_HUMAN,Schlafen family member 5,891,3D-structure; Alternative splicing; ATP-binding; Differentiation;Isopeptide bond; Nucleotide-binding; Reference proteome; Ubl conjugation.,
O75182,BioGRID,SIN3B_HUMAN,Paired amphipathic helix protein Sin3b,1162,3D-structure; Alternative splicing; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation; Ubl conjugation.,
P29373,BioGRID,RABP2_HUMAN,Cellular retinoic acid-binding protein 2,138,3D-structure; Cytoplasm; Endoplasmic reticulum; Isopeptide bond; Nucleus;Reference proteome; Retinol-binding; Transport; Ubl conjugation; Vitamin A.,
P55197,Gene Ontology,AF10_HUMAN,Protein AF-10 {ECO:0000305},1068,3D-structure; Alternative splicing; Chromosomal rearrangement; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,
Q5T9A4,BioGRID,ATD3B_HUMAN,ATPase family AAA domain-containing protein 3B,648,Acetylation; Alternative splicing; ATP-binding; Coiled coil; Membrane;Mitochondrion; Mitochondrion inner membrane; Nucleotide-binding;Reference proteome.,
Q92922,BioGRID,SMRC1_HUMAN,SWI/SNF complex subunit SMARCC1 {ECO:0000305},1105,3D-structure; Acetylation; Chromatin regulator; Coiled coil; Cytoplasm;Direct protein sequencing; Disease variant; Isopeptide bond; Methylation;Neurogenesis; Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Chromatin remodelers;Centromere-associated
P36952,BioGRID,SPB5_HUMAN,Serpin B5,375,3D-structure; Alternative splicing; Direct protein sequencing;Glycoprotein; Reference proteome; Secreted.,
P50219,BioGRID,MNX1_HUMAN,Motor neuron and pancreas homeobox protein 1,401,Acetylation; Alternative splicing; Disease variant; DNA-binding; Homeobox;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors
Q9UQL6,Gene Ontology,HDAC5_HUMAN,Histone deacetylase 5,1122,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Cytoplasm; Hydrolase; Isopeptide bond; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc.,Histone modification;Histone PTM erasers
P46013,Gene Ontology,KI67_HUMAN,Proliferation marker protein Ki-67 {ECO:0000305},3256,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cell cycle;Chromosome; DNA-binding; Isopeptide bond; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,
Q92831,Gene Ontology,KAT2B_HUMAN,Histone acetyltransferase KAT2B,832,3D-structure; Activator; Acyltransferase; Biological rhythms; Bromodomain;Cell cycle; Cytoplasm; Cytoskeleton; Disease variant;Host-virus interaction; Nucleus; Reference proteome; Transcription;Transcription regulation; Transferase.,Histone modification;Histone PTM writers;Centromere-associated;DNA-templated transcription
P26358,Gene Ontology,DNMT1_HUMAN,DNA (cytosine-5)-methyltransferase 1,1616,3D-structure; Acetylation; Activator; Alternative splicing;Chromatin regulator; Deafness; Disease variant; DNA-binding;Isopeptide bond; Metal-binding; Methylation; Methyltransferase; Neuropathy;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;S-adenosyl-L-methionine; Transcription; Transcription regulation;Transferase; Ubl conjugation; Zinc; Zinc-finger.,Centromere-associated;Heterochromatin-associated;DNA-modifying enzymes;DNA de_methylation;Methylated DNA binding
O15090,BioGRID,ZN536_HUMAN,Zinc finger protein 536,1300,DNA-binding; Metal-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q13105,Gene Ontology,ZBT17_HUMAN,Zinc finger and BTB domain-containing protein 17,803,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q96SN8,Gene Ontology,CK5P2_HUMAN,CDK5 regulatory subunit-associated protein 2,1893,3D-structure; Alternative splicing; Calmodulin-binding; Cytoplasm;Cytoskeleton; Golgi apparatus; Intellectual disability; Microtubule;Phosphoprotein; Primary microcephaly; Reference proteome.,
P42357,BioGRID,HUTH_HUMAN,Histidine ammonia-lyase,657,Alternative splicing; Disease variant; Histidine metabolism; Lyase;Phosphoprotein; Reference proteome.,
P17482,BioGRID,HXB9_HUMAN,Homeobox protein Hox-B9,250,Developmental protein; DNA-binding; Homeobox; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
Q7Z353,Gene Ontology,HDX_HUMAN,Highly divergent homeobox,690,3D-structure; Alternative splicing; Direct protein sequencing; DNA-binding;Homeobox; Isopeptide bond; Nucleus; Reference proteome; Repeat;Ubl conjugation.,DNA-binding transcription factors
Q92785,BioGRID,REQU_HUMAN,Zinc finger protein ubi-d4,391,3D-structure; Acetylation; Alternative splicing; Apoptosis;Chromatin regulator; Cytoplasm; Disease variant; Intellectual disability;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Histone PTM readers;Chromatin remodelers
Q7Z3G6,BioGRID,PRIC2_HUMAN,Prickle-like protein 2,844,Disease variant; Epilepsy; LIM domain; Lipoprotein; Membrane;Metal-binding; Methylation; Neurodegeneration; Neuropathy; Nucleus;Phosphoprotein; Prenylation; Reference proteome; Repeat; Zinc.,
Q96AP0,Gene Ontology,ACD_HUMAN,Adrenocortical dysplasia protein homolog {ECO:0000305},458,3D-structure; Alternative splicing; Chromosome; Disease variant;DNA-binding; Dyskeratosis congenita; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Telomere; Ubl conjugation.,Telomere-associated
P20023,Gene Ontology,CR2_HUMAN,Complement receptor type 2,1033,3D-structure; Alternative splicing; Cell membrane; Complement pathway;Direct protein sequencing; Disulfide bond; Glycoprotein;Host cell receptor for virus entry; Host-virus interaction; Immunity;Innate immunity; Membrane; Receptor; Reference proteome; Repeat; Signal;Sushi; Systemic lupus erythematosus; Transmembrane; Transmembrane helix.,
Q9BWG4,Gene Ontology,SSBP4_HUMAN,Single-stranded DNA-binding protein 4,385,3D-structure; Acetylation; Alternative splicing; DNA-binding; Nucleus;Phosphoprotein; Reference proteome.,
Q9NUQ6,BioGRID,SPS2L_HUMAN,SPATS2-like protein,558,Acetylation; Alternative splicing; Coiled coil; Cytoplasm; Nucleus;Phosphoprotein; Reference proteome.,
P23760,Gene Ontology,PAX3_HUMAN,Paired box protein Pax-3,479,3D-structure; Alternative splicing; Chromosomal rearrangement; Deafness;Developmental protein; Disease variant; DNA-binding; Homeobox; Myogenesis;Neurogenesis; Nucleus; Paired box; Phosphoprotein; Proto-oncogene;Reference proteome; Transcription; Transcription regulation;Waardenburg syndrome.,DNA-binding transcription factors
P31948,BioGRID,STIP1_HUMAN,Stress-induced-phosphoprotein 1,543,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Repeat; TPR repeat; Ubl conjugation.,
O15020,BioGRID,SPTN2_HUMAN,"Spectrin beta chain, non-erythrocytic 2",2390,3D-structure; Acetylation; Actin capping; Actin-binding;Alternative splicing; Cytoplasm; Cytoskeleton; Disease variant;Neurodegeneration; Phosphoprotein; Reference proteome; Repeat;Spinocerebellar ataxia.,
Q13207,BioGRID,TBX2_HUMAN,T-box transcription factor TBX2,712,Developmental protein; Disease variant; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors
Q8IX15,Gene Ontology,HOMEZ_HUMAN,Homeobox and leucine zipper protein Homez,550,3D-structure; Alternative splicing; DNA-binding; Homeobox; Isopeptide bond;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q96QC0,Gene Ontology,PP1RA_HUMAN,Serine/threonine-protein phosphatase 1 regulatory subunit 10,940,3D-structure; Direct protein sequencing; DNA-binding; Isopeptide bond;Metal-binding; Methylation; Nucleus; Phosphoprotein;Protein phosphatase inhibitor; Reference proteome; RNA-binding;Ubl conjugation; Zinc; Zinc-finger.,Telomere-associated
O00327,Gene Ontology,BMAL1_HUMAN,Basic helix-loop-helix ARNT-like protein 1 {ECO:0000312|HGNC:HGNC:701},626,3D-structure; Acetylation; Activator; Alternative splicing;Biological rhythms; Cytoplasm; DNA-binding; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
P19387,Gene Ontology,RPB3_HUMAN,DNA-directed RNA polymerase II subunit RPB3 {ECO:0000305},275,3D-structure; Direct protein sequencing; DNA-directed RNA polymerase;Nucleus; Phosphoprotein; Reference proteome; Transcription.,RNA polymerases;DNA-templated transcription
Q06710,Gene Ontology,PAX8_HUMAN,Paired box protein Pax-8,450,3D-structure; Alternative splicing; Congenital hypothyroidism;Developmental protein; Differentiation; Disease variant; DNA-binding;Nucleus; Paired box; Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,DNA-binding transcription factors
Q01196,Gene Ontology,RUNX1_HUMAN,Runt-related transcription factor 1,453,3D-structure; Acetylation; Activator; Alternative splicing; Chloride;Chromosomal rearrangement; Disease variant; DNA-binding; Methylation;Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome; Repressor;Transcription; Transcription regulation.,Regulation of transcription;DNA-binding transcription factors
Q96J02,BioGRID,ITCH_HUMAN,E3 ubiquitin-protein ligase Itchy homolog,903,3D-structure; Acetylation; Alternative splicing; Antiviral defense;Apoptosis; Cell membrane; Cytoplasm; Direct protein sequencing; Endosome;Host-virus interaction; Immunity; Innate immunity; Membrane; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transferase; Ubl conjugation;Ubl conjugation pathway.,
Q14587,Gene Ontology,ZN268_HUMAN,Zinc finger protein 268,947,3D-structure; Alternative splicing; Cytoplasm; Differentiation;DNA-binding; Metal-binding; Nucleus; Reference proteome; Repeat; Repressor;Transcription; Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9H6E5,BioGRID,STPAP_HUMAN,Speckle targeted PIP5K1A-regulated poly(A) polymerase,874,3D-structure; ATP-binding; Direct protein sequencing; Magnesium; Manganese;Metal-binding; mRNA processing; Nucleotide-binding; Nucleotidyltransferase;Nucleus; Phosphoprotein; Reference proteome; RNA-binding; Transferase;Zinc; Zinc-finger.,
Q9H816,Gene Ontology,DCR1B_HUMAN,5' exonuclease Apollo,532,3D-structure; Chromosome; Cytoplasm; Cytoskeleton; Disease variant;DNA damage; DNA repair; Dyskeratosis congenita; Exonuclease; Hydrolase;Isopeptide bond; Nuclease; Nucleus; Reference proteome; Telomere;Ubl conjugation.,DNA repair;Telomere-associated;DNA-modifying enzymes
O95373,BioGRID,IPO7_HUMAN,Importin-7,1038,Acetylation; Cytoplasm; Direct protein sequencing; Host-virus interaction;Nucleus; Phosphoprotein; Protein transport; Reference proteome; Transport.,
O14737,Gene Ontology,PDCD5_HUMAN,Programmed cell death protein 5,125,3D-structure; Acetylation; Alternative splicing; Apoptosis;Direct protein sequencing; Phosphoprotein; Reference proteome.,
Q9UI10,BioGRID,EI2BD_HUMAN,Translation initiation factor eIF2B subunit delta,523,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Disease variant; Initiation factor; Leukodystrophy; Phosphoprotein;Protein biosynthesis; Reference proteome.,
P54132,Gene Ontology,BLM_HUMAN,RecQ-like DNA helicase BLM {ECO:0000305},1417,3D-structure; Acetylation; ATP-binding; Disease variant; DNA damage;DNA repair; DNA replication; DNA-binding; Dwarfism; Helicase; Hydrolase;Isomerase; Isopeptide bond; Metal-binding; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Ubl conjugation; Zinc.,DNA replication;DNA repair;Telomere-associated;DNA-modifying enzymes
