UniProt AC,UniProt ID,Amino Acids,UniProt RecName,UniProt Keywords,Source,SimChrom
P63104,1433Z_HUMAN,245,14-3-3 protein zeta/delta,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Disease variant; Host-virus interaction;Phosphoprotein; Reference proteome.,Gene Ontology,
Q9HBU1,BARX1_HUMAN,254,Homeobox protein BarH-like 1,3D-structure; Alternative splicing; DNA-binding; Homeobox; Nucleus;Reference proteome; Transcription; Transcription regulation.,Gene Ontology,DNA-binding transcription factors
Q9NWU5,RM22_HUMAN,206,Large ribosomal subunit protein uL22m {ECO:0000303|PubMed:25278503},3D-structure; Alternative splicing; Mitochondrion; Reference proteome;Ribonucleoprotein; Ribosomal protein; Transit peptide.,Gene Ontology,
P78346,RPP30_HUMAN,268,Ribonuclease P protein subunit p30,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Nucleus; Phosphoprotein; Reference proteome; RNA-binding; rRNA processing;tRNA processing.,Gene Ontology,RNA processing
Q9UBC3,DNM3B_HUMAN,853,DNA (cytosine-5)-methyltransferase 3B,3D-structure; Activator; Alternative splicing; Citrullination;Disease variant; DNA-binding; Isopeptide bond; Metal-binding;Methyltransferase; Nucleus; Phosphoprotein; Reference proteome; Repressor;S-adenosyl-L-methionine; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA-modifying enzymes;DNA de_methylation
P35268,RL22_HUMAN,128,Large ribosomal subunit protein eL22 {ECO:0000303|PubMed:24524803},3D-structure; Cytoplasm; Direct protein sequencing; Heparin-binding;Phosphoprotein; Reference proteome; Ribonucleoprotein; Ribosomal protein;RNA-binding.,Gene Ontology,
O43251,RFOX2_HUMAN,390,RNA binding protein fox-1 homolog 2,3D-structure; Alternative splicing; Cytoplasm; Methylation;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; RNA-binding.,Gene Ontology,RNA processing
Q9UQ35,SRRM2_HUMAN,2752,Serine/arginine repetitive matrix protein 2,3D-structure; Acetylation; Alternative splicing; Autism spectrum disorder;Coiled coil; Direct protein sequencing; Disease variant;Intellectual disability; Isopeptide bond; Methylation; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Spliceosome; Ubl conjugation.,Gene Ontology,
Q9UKK9,NUDT5_HUMAN,219,ADP-sugar pyrophosphatase,3D-structure; Acetylation; Hydrolase; Isopeptide bond; Magnesium;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; RNA-binding;Transferase; Ubl conjugation.,Gene Ontology,
P51608,MECP2_HUMAN,486,Methyl-CpG-binding protein 2,3D-structure; Acetylation; Alternative splicing; Autism;Autism spectrum disorder; Chromosomal rearrangement; Disease variant;DNA-binding; Intellectual disability; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Transcription;Transcription regulation.,Gene Ontology,Heterochromatin-associated;Methylated DNA binding
P26599,PTBP1_HUMAN,557,Polypyrimidine tract-binding protein 1,3D-structure; Acetylation; Activator; Alternative splicing;Direct protein sequencing; Isopeptide bond; mRNA processing; mRNA splicing;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;RNA-binding; Ubl conjugation.,Gene Ontology,RNA processing
P62266,RS23_HUMAN,143,Small ribosomal subunit protein uS12 {ECO:0000303|PubMed:24524803},3D-structure; Acetylation; Cytoplasm; Deafness; Direct protein sequencing;Disease variant; Dwarfism; Endoplasmic reticulum; Hydroxylation;Isopeptide bond; Nucleus; Reference proteome; Ribonucleoprotein;Ribosomal protein; Ubl conjugation.,Gene Ontology,Preribosome-associated
O43298,ZBT43_HUMAN,467,Zinc finger and BTB domain-containing protein 43,3D-structure; Acetylation; DNA-binding; Isopeptide bond; Metal-binding;Nucleus; Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
P06493,CDK1_HUMAN,297,Cyclin-dependent kinase 1,3D-structure; Acetylation; Alternative splicing; Apoptosis; ATP-binding;Biological rhythms; Cell cycle; Cell division; Cytoplasm; Cytoskeleton;Host cell receptor for virus entry; Host-virus interaction;Isopeptide bond; Kinase; Mitochondrion; Mitosis; Nucleotide-binding;Nucleus; Phosphoprotein; Receptor; Reference proteome;Serine/threonine-protein kinase; Transferase; Ubl conjugation.,STRING,Histone modification;DNA replication;Telomere-associated
Q9BQ39,DDX50_HUMAN,737,ATP-dependent RNA helicase DDX50,3D-structure; ATP-binding; Helicase; Hydrolase; Isopeptide bond;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Ubl conjugation.,Gene Ontology,
P60900,PSA6_HUMAN,246,Proteasome subunit alpha type-6,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Glycoprotein; Nucleus; Phosphoprotein;Proteasome; Reference proteome.,Gene Ontology,
Q9NYK5,RM39_HUMAN,338,Large ribosomal subunit protein mL39 {ECO:0000303|PubMed:25278503},3D-structure; Acetylation; Alternative splicing; Mitochondrion;Reference proteome; Ribonucleoprotein; Ribosomal protein.,Gene Ontology,
Q9H5Q4,TFB2M_HUMAN,396,"Dimethyladenosine transferase 2, mitochondrial {ECO:0000305}",3D-structure; Methyltransferase; Mitochondrion; Reference proteome;RNA-binding; rRNA processing; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Transit peptide.,Gene Ontology,DNA-templated transcription
P62310,LSM3_HUMAN,102,U6 snRNA-associated Sm-like protein LSm3,3D-structure; Acetylation; Direct protein sequencing; mRNA processing;mRNA splicing; Nucleus; Reference proteome; Ribonucleoprotein; RNA-binding;Spliceosome.,Gene Ontology,
Q86W42,THOC6_HUMAN,341,THO complex subunit 6 homolog,3D-structure; Alternative splicing; Apoptosis; Developmental protein;Disease variant; Intellectual disability; mRNA processing; mRNA splicing;mRNA transport; Nucleus; Phosphoprotein; Reference proteome; Repeat;RNA-binding; Transport; WD repeat.,Gene Ontology,Telomere-associated
Q9UBB5,MBD2_HUMAN,411,Methyl-CpG-binding domain protein 2 {ECO:0000305},3D-structure; Alternative splicing; Chromosome; DNA-binding; Nucleus;Phosphoprotein; Reference proteome; Transcription;Transcription regulation.,Gene Ontology,Chromatin remodelers;Heterochromatin-associated;Methylated DNA binding
P42771,CDN2A_HUMAN,156,Cyclin-dependent kinase inhibitor 2A {ECO:0000312|HGNC:HGNC:1787},3D-structure; Acetylation; Alternative splicing; ANK repeat; Cell cycle;Cytoplasm; Disease variant; Li-Fraumeni syndrome; Nucleus; Phosphoprotein;Reference proteome; Repeat; Tumor suppressor.,Gene Ontology,Heterochromatin-associated
P50914,RL14_HUMAN,215,Large ribosomal subunit protein eL14 {ECO:0000303|PubMed:24524803},3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;Isopeptide bond; Phosphoprotein; Reference proteome; Repeat;Ribonucleoprotein; Ribosomal protein; Triplet repeat expansion;Ubl conjugation.,Gene Ontology,
Q8NAP3,ZBT38_HUMAN,1195,Zinc finger and BTB domain-containing protein 38,3D-structure; Activator; Chromosome; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,Gene Ontology,Methylated DNA binding;DNA-binding transcription factors
Q15637,SF01_HUMAN,639,Splicing factor 1,3D-structure; Acetylation; Alternative splicing; Direct protein sequencing;Metal-binding; Methylation; mRNA processing; mRNA splicing; Nucleus;Phosphoprotein; Reference proteome; Repressor; RNA-binding; Spliceosome;Transcription; Transcription regulation; Zinc; Zinc-finger.,Gene Ontology,RNA processing
O43929,ORC4_HUMAN,436,Origin recognition complex subunit 4,3D-structure; Alternative splicing; ATP-binding; Disease variant;DNA replication; DNA-binding; Dwarfism; Methylation; Nucleotide-binding;Nucleus; Reference proteome.,Gene Ontology,DNA replication;Telomere-associated
Q4VC44,FWCH1_HUMAN,716,FLYWCH-type zinc finger-containing protein 1,3D-structure; Alternative splicing; Centromere; Chromosome; DNA damage;DNA-binding; Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Centromere-associated;Heterochromatin-associated
Q5U5Q3,MEX3C_HUMAN,659,RNA-binding E3 ubiquitin-protein ligase MEX3C,3D-structure; Cytoplasm; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; RNA-binding; Transferase;Ubl conjugation pathway; Zinc; Zinc-finger.,Gene Ontology,
Q71UI9,H2AV_HUMAN,128,Histone H2A.V,3D-structure; Acetylation; Alternative splicing; Chromosome; DNA-binding;Nucleosome core; Nucleus; Reference proteome; Ubl conjugation.,Gene Ontology,Histones
Q96B26,EXOS8_HUMAN,276,Exosome complex component RRP43,3D-structure; Acetylation; Cytoplasm; Disease variant; Exosome;Neurodegeneration; Nucleus; Reference proteome; RNA-binding;rRNA processing.,Gene Ontology,RNA processing
Q03164,KMT2A_HUMAN,3969,MLL cleavage product C180,3D-structure; Acetylation; Alternative splicing; Apoptosis;Biological rhythms; Bromodomain; Chromatin regulator;Chromosomal rearrangement; Direct protein sequencing; DNA-binding;Host-virus interaction; Isopeptide bond; Metal-binding; Methylation;Methyltransferase; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Repeat; S-adenosyl-L-methionine; Transcription;Transcription regulation; Transferase; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Histone PTM readers;Histone modification;Histone PTM writers;DNA-templated transcription
O60479,DLX3_HUMAN,287,Homeobox protein DLX-3,3D-structure; Activator; Amelogenesis imperfecta; Cytoplasm;Developmental protein; DNA-binding; Homeobox; Nucleus; Reference proteome;Transcription; Transcription regulation.,Gene Ontology,DNA-binding transcription factors
O75940,SPF30_HUMAN,238,Survival of motor neuron-related-splicing factor 30,3D-structure; Acetylation; Apoptosis; Direct protein sequencing;mRNA processing; mRNA splicing; Nucleus; Phosphoprotein;Reference proteome; Spliceosome.,Gene Ontology,RNA processing
P17096,HMGA1_HUMAN,107,High mobility group protein HMG-I/HMG-Y,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Chromosomal rearrangement; Chromosome; Direct protein sequencing;DNA-binding; Isopeptide bond; Methylation; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation.,Gene Ontology,DNA replication;Heterochromatin-associated;Regulation of transcription;HMG_A/B/N
P62993,GRB2_HUMAN,217,Growth factor receptor-bound protein 2,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Endosome; Golgi apparatus;Host-virus interaction; Nucleus; Phosphoprotein; Reference proteome;Repeat; SH2 domain; SH3 domain.,Gene Ontology,
Q07955,SRSF1_HUMAN,248,Serine/arginine-rich splicing factor 1 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Isopeptide bond; Methylation; mRNA processing;mRNA splicing; mRNA transport; Nucleus; Phosphoprotein; Reference proteome;Repeat; RNA-binding; Spliceosome; Transport; Ubl conjugation.,Gene Ontology,RNA processing
P07355,ANXA2_HUMAN,339,Annexin A2,3D-structure; Acetylation; Alternative splicing; Annexin;Basement membrane; Calcium; Calcium/phospholipid-binding;Direct protein sequencing; Extracellular matrix; Host-virus interaction;Isopeptide bond; Phosphoprotein; Reference proteome; Repeat; RNA-binding;Secreted; Ubl conjugation.,Gene Ontology,Regulation of transcription;DNA-templated transcription
Q14694,UBP10_HUMAN,798,Ubiquitin carboxyl-terminal hydrolase 10 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; Autophagy; Cytoplasm;DNA damage; DNA repair; Endosome; Hydrolase; Nucleus; Phosphoprotein;Protease; Reference proteome; Thiol protease; Ubl conjugation;Ubl conjugation pathway.,Gene Ontology,DNA repair
Q8N3C0,ASCC3_HUMAN,2202,Activating signal cointegrator 1 complex subunit 3,3D-structure; Acetylation; Alternative splicing; ATP-binding; Coiled coil;Cytoplasm; Direct protein sequencing; DNA damage; DNA repair; Helicase;Hydrolase; Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation.,Gene Ontology,DNA repair;DNA-modifying enzymes;Regulation of transcription
P63241,IF5A1_HUMAN,154,Eukaryotic translation initiation factor 5A-1 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Disease variant; Elongation factor;Endoplasmic reticulum; Hypusine; Membrane; Nucleus; Protein biosynthesis;Reference proteome; RNA-binding.,Gene Ontology,
O15347,HMGB3_HUMAN,200,High mobility group protein B3,3D-structure; Acetylation; Chromosome; Cytoplasm; Disulfide bond;DNA-binding; Immunity; Innate immunity; Microphthalmia; Nucleus; Oxidation;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation.,Gene Ontology,HMG_A/B/N
P62877,RBX1_HUMAN,108,"E3 ubiquitin-protein ligase RBX1, N-terminally processed",3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;DNA damage; DNA repair; Host-virus interaction; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Transferase; Ubl conjugation pathway;Zinc; Zinc-finger.,Gene Ontology,Histone PTM writers
Q9UKD2,MRT4_HUMAN,239,mRNA turnover protein 4 homolog {ECO:0000250|UniProtKB:P33201},3D-structure; Cytoplasm; Nucleus; Phosphoprotein; Reference proteome;Ribosome biogenesis.,Gene Ontology,Preribosome-associated
Q05823,RN5A_HUMAN,741,2-5A-dependent ribonuclease,3D-structure; Acetylation; Alternative splicing; ANK repeat;Antiviral defense; ATP-binding; Cytoplasm; Endonuclease; Hydrolase;Metal-binding; Mitochondrion; Nuclease; Nucleotide-binding;Reference proteome; Repeat; RNA-binding; Zinc; Zinc-finger.,Gene Ontology,
Q99729,ROAA_HUMAN,332,Heterogeneous nuclear ribonucleoprotein A/B,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Isopeptide bond; Methylation; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding; Ubl conjugation.,Gene Ontology,RNA modification;Regulation of transcription
Q9UNX4,WDR3_HUMAN,943,WD repeat-containing protein 3,3D-structure; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Repeat; Ubl conjugation; WD repeat.,Gene Ontology,Preribosome-associated
Q9BZB8,CPEB1_HUMAN,566,Cytoplasmic polyadenylation element-binding protein 1,3D-structure; Activator; Alternative splicing; Cell projection; Cytoplasm;Membrane; Metal-binding; mRNA processing; Nucleus; Phosphoprotein;Reference proteome; Repeat; Repressor; Ribonucleoprotein; RNA-binding;Synapse; Translation regulation; Zinc.,Gene Ontology,
P23771,GATA3_HUMAN,443,Trans-acting T-cell-specific transcription factor GATA-3,3D-structure; Activator; Alternative splicing; Deafness; Disease variant;DNA-binding; Immunity; Innate immunity; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors;DNA-templated transcription;Pioneer TFs
Q13315,ATM_HUMAN,3056,Serine-protein kinase ATM,3D-structure; Acetylation; ATP-binding; Cell cycle; Cytoplasm;Cytoplasmic vesicle; Cytoskeleton; Disease variant; DNA damage;DNA-binding; Kinase; Neurodegeneration; Nucleotide-binding; Nucleus;Peroxisome; Phosphoprotein; Reference proteome;Serine/threonine-protein kinase; Transferase; Tumor suppressor.,Gene Ontology,Histone modification;Histone PTM writers;DNA repair;Telomere-associated;DNA recombination
Q8IV48,ERI1_HUMAN,349,3'-5' exoribonuclease 1,3D-structure; Cytoplasm; Direct protein sequencing; Exonuclease; Hydrolase;Magnesium; Metal-binding; Nuclease; Nucleus; Phosphoprotein;Reference proteome; RNA-binding; RNA-mediated gene silencing;rRNA processing.,Gene Ontology,
Q9UIF9,BAZ2A_HUMAN,1905,Bromodomain adjacent to zinc finger domain protein 2A,3D-structure; Acetylation; Alternative splicing; Bromodomain;Chromatin regulator; Coiled coil; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; RNA-binding; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Histone PTM readers;Chromatin remodelers;Heterochromatin-associated;DNA-templated transcription
P08670,VIME_HUMAN,466,Vimentin,3D-structure; Acetylation; Cataract; Cell membrane; Coiled coil; Cytoplasm;Cytoskeleton; Direct protein sequencing; Disease variant; Glycoprotein;Host-virus interaction; Intermediate filament; Isopeptide bond; Membrane;Nucleus; Phosphoprotein; Reference proteome; S-nitrosylation;Ubl conjugation.,Gene Ontology,
Q9NWB1,RFOX1_HUMAN,397,RNA binding protein fox-1 homolog 1,3D-structure; Alternative splicing; Cytoplasm; Methylation;mRNA processing; mRNA splicing; Nucleus; Reference proteome; RNA-binding.,Gene Ontology,
Q9P0M9,RM27_HUMAN,148,Large ribosomal subunit protein bL27m {ECO:0000303|PubMed:25278503},3D-structure; Mitochondrion; Reference proteome; Ribonucleoprotein;Ribosomal protein; Transit peptide.,Gene Ontology,
Q14493,SLBP_HUMAN,270,Histone RNA hairpin-binding protein,3D-structure; Alternative splicing; Cytoplasm; Isopeptide bond;mRNA processing; Nucleus; Phosphoprotein; Reference proteome;Ribonucleoprotein; RNA-binding; Ubl conjugation.,Gene Ontology,RNA processing
Q8NAV1,PR38A_HUMAN,312,Pre-mRNA-splicing factor 38A,3D-structure; Alternative splicing; Coiled coil; mRNA processing;mRNA splicing; Nucleus; Phosphoprotein; Reference proteome; Spliceosome.,Gene Ontology,
Q13077,TRAF1_HUMAN,416,TNF receptor-associated factor 1,3D-structure; Alternative splicing; Apoptosis; Coiled coil;Isopeptide bond; Phosphoprotein; Reference proteome; Ubl conjugation.,Gene Ontology,
Q9UK45,LSM7_HUMAN,103,U6 snRNA-associated Sm-like protein LSm7,3D-structure; Acetylation; Direct protein sequencing; mRNA processing;mRNA splicing; Nucleus; Reference proteome; Ribonucleoprotein; RNA-binding;Spliceosome.,Gene Ontology,
P55197,AF10_HUMAN,1068,Protein AF-10 {ECO:0000305},3D-structure; Alternative splicing; Chromosomal rearrangement; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein; Proto-oncogene;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,
Q9Y2K5,R3HD2_HUMAN,976,R3H domain-containing protein 2,3D-structure; Alternative splicing; Nucleus; Phosphoprotein;Reference proteome.,Gene Ontology,
P78345,RPP38_HUMAN,283,Ribonuclease P protein subunit p38,3D-structure; Acetylation; Direct protein sequencing; Nucleus;Phosphoprotein; Reference proteome; RNA-binding; rRNA processing;tRNA processing.,Gene Ontology,
P11142,HSP7C_HUMAN,646,Heat shock cognate 71 kDa protein {ECO:0000305},3D-structure; Acetylation; Alternative splicing; ATP-binding; Autophagy;Cell membrane; Chaperone; Cytoplasm; Direct protein sequencing;Host-virus interaction; Hydrolase; Isopeptide bond; Lysosome; Membrane;Methylation; mRNA processing; mRNA splicing; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Spliceosome;Stress response; Transcription; Transcription regulation; Ubl conjugation.,Gene Ontology,RNA processing;Histone chaperones
Q7Z478,DHX29_HUMAN,1369,ATP-dependent RNA helicase DHX29 {ECO:0000255|HAMAP-Rule:MF_03068},ATP-binding; Coiled coil; Cytoplasm; Helicase; Hydrolase;Initiation factor; Nucleotide-binding; Phosphoprotein;Protein biosynthesis; Reference proteome.,BioGRID,
Q9UQL6,HDAC5_HUMAN,1122,Histone deacetylase 5,3D-structure; Acetylation; Alternative splicing; Chromatin regulator;Cytoplasm; Hydrolase; Isopeptide bond; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation; Zinc.,Gene Ontology,Histone modification;Histone PTM erasers
Q9H633,RPP21_HUMAN,154,Ribonuclease P protein subunit p21,3D-structure; Acetylation; Alternative splicing; Metal-binding; Nucleus;Reference proteome; RNA-binding; tRNA processing; Zinc.,Gene Ontology,
P46013,KI67_HUMAN,3256,Proliferation marker protein Ki-67 {ECO:0000305},3D-structure; Acetylation; Alternative splicing; ATP-binding; Cell cycle;Chromosome; DNA-binding; Isopeptide bond; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation.,Gene Ontology,
Q92831,KAT2B_HUMAN,832,Histone acetyltransferase KAT2B,3D-structure; Activator; Acyltransferase; Biological rhythms; Bromodomain;Cell cycle; Cytoplasm; Cytoskeleton; Disease variant;Host-virus interaction; Nucleus; Reference proteome; Transcription;Transcription regulation; Transferase.,Gene Ontology,Histone modification;Histone PTM writers;Centromere-associated;DNA-templated transcription
P26358,DNMT1_HUMAN,1616,DNA (cytosine-5)-methyltransferase 1,3D-structure; Acetylation; Activator; Alternative splicing;Chromatin regulator; Deafness; Disease variant; DNA-binding;Isopeptide bond; Metal-binding; Methylation; Methyltransferase; Neuropathy;Nucleus; Phosphoprotein; Reference proteome; Repeat; Repressor;S-adenosyl-L-methionine; Transcription; Transcription regulation;Transferase; Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,Centromere-associated;Heterochromatin-associated;DNA-modifying enzymes;DNA de_methylation;Methylated DNA binding
P12814,ACTN1_HUMAN,892,Alpha-actinin-1,3D-structure; Acetylation; Actin-binding; Alternative splicing; Calcium;Cell junction; Cell membrane; Cell projection; Cytoplasm; Cytoskeleton;Direct protein sequencing; Disease variant; Membrane; Metal-binding;Phosphoprotein; Reference proteome; Repeat.,Gene Ontology,
Q13105,ZBT17_HUMAN,803,Zinc finger and BTB domain-containing protein 17,3D-structure; Alternative splicing; Developmental protein; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Transcription; Transcription regulation;Ubl conjugation; Zinc; Zinc-finger.,Gene Ontology,DNA-binding transcription factors
Q96SN8,CK5P2_HUMAN,1893,CDK5 regulatory subunit-associated protein 2,3D-structure; Alternative splicing; Calmodulin-binding; Cytoplasm;Cytoskeleton; Golgi apparatus; Intellectual disability; Microtubule;Phosphoprotein; Primary microcephaly; Reference proteome.,Gene Ontology,
P42357,HUTH_HUMAN,657,Histidine ammonia-lyase,Alternative splicing; Disease variant; Histidine metabolism; Lyase;Phosphoprotein; Reference proteome.,BioGRID,
Q9H9Y2,RPF1_HUMAN,349,Ribosome production factor 1,3D-structure; Nucleus; Reference proteome; Ribosome biogenesis;RNA-binding; rRNA processing; rRNA-binding.,Gene Ontology,
Q7Z353,HDX_HUMAN,690,Highly divergent homeobox,3D-structure; Alternative splicing; Direct protein sequencing; DNA-binding;Homeobox; Isopeptide bond; Nucleus; Reference proteome; Repeat;Ubl conjugation.,Gene Ontology,DNA-binding transcription factors
P04350,TBB4A_HUMAN,444,Tubulin beta-4A chain,Cytoplasm; Cytoskeleton; Direct protein sequencing; Disease variant;Dystonia; GTP-binding; Isopeptide bond; Leukodystrophy; Magnesium;Metal-binding; Microtubule; Nucleotide-binding; Phosphoprotein;Reference proteome.,BioGRID,
Q96AP0,ACD_HUMAN,458,Adrenocortical dysplasia protein homolog {ECO:0000305},3D-structure; Alternative splicing; Chromosome; Disease variant;DNA-binding; Dyskeratosis congenita; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Telomere; Ubl conjugation.,Gene Ontology,Telomere-associated
